Location,Loc_code,Site,Site_code,Transect,Percent_Hard_coral,Percent_Reef_substrate,Percent_Soft_corals,Percent_Acropora,Percent_Poritdae,Percent_Montipora,Percent_Pocilloporidae,Percent_Favidae,Percent_Other_hard_corals,Percent_Other,Number_spp,Shannon_Weiner_H_prime,J_prime,C_aureofasciatus,C_baronessa,C_bennetti,C_lunulatus,C_melannotus,C_ornatissimus,C_plebius,C_rainfordi,C_reticulatus,C_trifascialis,C_unimaculatus,C_auriga,C_citrinellus,C_ephippium,C_flavirostris,C_kleinii,C_lineolatus,C_lunula,C_oxycephalus,C_pelewensis,C_quadrimaculatus,C_rafflesi,C_speculum,C_ulientensis,C_vagabundus,C_semion,Number_spp_present,Shannon ,Shannon_J_prime,Total_focal_spp,Total_other_spp,Total,Number_spp_OC_present,Number_spp_FC_present,Total_abundance,Total_OC_abundance,Total_FC_abundance,Coral_cov_by_corallivore_tot_abund,Coral_cov_by_OC_abun
FP,5,Tiahura inner crest zone 3,7,4,7,93,0,0,6.5,0,0.5,0,0,0,4,0.2,0.04896209,0,0,0,2,0,3,0,0,2,4,3,2,5,2,0,0,0,3,0,0,0,0,0,4,2,0,11,1.928822224,0.410349316,15,17,32,5,6,32,14,18,0.2,0.5
FP,5,Tiahura inner crest zone 3,7,5,32,68,0,0,31,0.5,0.5,0,0,0,4,0.6,0.134196154,0,0,0,2,0,0,0,0,2,0,5,0,5,2,0,0,0,0,0,0,0,0,0,3,3,0,7,2.128085279,0.452741745,10,12,22,3,4,22,9,13,1.5,3.6
FP,5,Viapahu flat zone 1,8,1,20.5,78,0,0.5,19,0,1,0,0,1.5,6,0.6,0.136906249,0,0,0,2,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.455442751,0.309639701,5,3,8,3,1,8,5,3,2.6,4.1
FP,5,Viapahu flat zone 1,8,2,25,75,0,0.5,22,2,0.5,0,0,0,7,0.8,0.162100849,0,0,0,2,0,2,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,6,1.430827083,0.304402815,10,5,15,4,2,15,7,8,1.7,3.6
FP,5,Viapahu flat zone 1,8,3,10,90,0,0,9,0,1,0,0,0,4,0.4,0.076151824,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.235846926,0.47566761,3,3,6,2,1,6,5,1,1.7,2
FP,5,Viapahu flat zone 1,8,4,33,66.5,0,0,29.5,0.5,3,0,0,0.5,7,1.2,0.250224773,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1.611544412,0.342849714,3,3,6,2,2,6,3,3,5.5,11
FP,5,Viapahu flat zone 1,8,5,20.5,79.5,0,0,19.5,0,1,0,0,0,4,0.6,0.126253749,0,0,0,0,0,2,0,0,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.419381946,0.514713961,5,8,13,4,1,13,9,4,1.6,2.3
FP,5,Viapahu inner crest zone 3,9,1,13.5,86,0,0.5,11.5,0,1.5,0,0,0.5,5,0.5,0.112164953,0,0,0,0,0,4,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.556656707,0.331172571,5,6,11,3,2,11,6,5,1.2,2.3
FP,5,Viapahu inner crest zone 3,9,2,12.5,86.5,0,0,11,1,0.5,0,0,1,5,0.9,0.18544689,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,5,7,4,1,7,7,0,1.8,1.8
FP,5,Viapahu inner crest zone 3,9,3,11.5,84,0,0,11,0,0.5,0,0,4.5,3,0.4,0.095639981,0,0,0,0,0,2,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0.970950594,0.206565907,6,6,12,3,2,12,6,6,1,1.9
FP,5,Viapahu inner crest zone 3,9,4,11.5,85,0,0,9.5,0,2,0,0,3.5,4,0.9,0.185025084,0,0,0,4,0,0,0,0,2,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,11,4,15,4,3,15,7,8,0.8,1.6
FP,5,Viapahu inner crest zone 3,9,5,14.5,83.5,0,1,7,0.5,6,0,0,2,7,0.6,0.12757053,0,0,0,3,0,2,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.294736718,0.275450127,11,5,16,3,2,16,8,8,0.9,1.8
