Location,Loc_code,Site,Site_code,Transect,Percent_Hard_coral,Percent_Reef_substrate,Percent_Soft_corals,Percent_Acropora,Percent_Poritdae,Percent_Montipora,Percent_Pocilloporidae,Percent_Favidae,Percent_Other_hard_corals,Percent_Other,Number_spp,Shannon_Weiner_H_prime,J_prime,C_aureofasciatus,C_baronessa,C_bennetti,C_lunulatus,C_melannotus,C_ornatissimus,C_plebius,C_rainfordi,C_reticulatus,C_trifascialis,C_unimaculatus,C_auriga,C_citrinellus,C_ephippium,C_flavirostris,C_kleinii,C_lineolatus,C_lunula,C_oxycephalus,C_pelewensis,C_quadrimaculatus,C_rafflesi,C_speculum,C_ulientensis,C_vagabundus,C_semion,Number_spp_present,Shannon ,Shannon_J_prime,Total_focal_spp,Total_other_spp,Total,Number_spp_OC_present,Number_spp_FC_present,Total_abundance,Total_OC_abundance,Total_FC_abundance,Coral_cov_by_corallivore_tot_abund,Coral_cov_by_OC_abun
LI,2,Palfreys,6,1,55,31.5,13,34.5,1,1,5.5,1.5,11.5,0.5,17,1.724105169,0.30548354,0,7,0,2,0,0,0,3,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.341228125,0.498087044,14,10,24,4,1,24,16,8,2.3,3.4
LI,2,Palfreys,6,2,47,41.5,10,37.5,1,0.5,3,1.5,3.5,1,22,1.774026567,0.314328804,0,5,0,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.371321926,0.291743328,8,8,16,4,1,16,13,3,2.9,3.6
LI,2,Palfreys,6,3,59,33.5,6.5,52,0,1,1.5,2,2.5,1,20,1.772602879,0.31407655,1,4,0,2,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.424410405,0.303037692,9,6,15,5,1,15,11,4,3.9,5.4
LI,2,Palfreys,6,4,52.5,37.5,9.5,40,0.5,0,5,0.5,6.5,0.5,17,1.490038658,0.264010742,1,6,0,0,0,0,1,3,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1.748060603,0.371892995,7,12,19,5,2,19,14,5,2.8,3.8
LI,2,Palfreys,6,5,61,34.5,1,49,0.5,0,4,1,6.5,3.5,20,1.502480308,0.266215201,0,8,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2.41424493,0.513621081,9,9,18,2,2,18,12,6,3.4,5.1
LI,2,South Island,7,1,44,42,10,22,4,6,6,4,2,4,12,1.318743421,0.197640791,0,2,0,2,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1.361101307,0.289568932,10,3,13,4,2,13,7,6,3.4,6.3
LI,2,South Island,7,2,36,50,6,22,4,0,6,2,2,8,13,0.928771238,0.139195448,0,2,0,6,0,0,1,0,0,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,3,0,7,0.923794941,0.196533728,18,5,23,4,3,23,11,12,1.6,3.3
LI,2,South Island,7,3,40,44,12,16,8,0,4,10,2,4,15,0.66301699,0.099366715,0,2,0,2,0,0,1,1,0,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.846393983,0.392813033,13,4,17,5,2,17,8,9,2.4,5
LI,2,South Island,7,4,54,36,6,42,4,0,6,0,2,4,11,1.803366721,0.270271547,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0.212746054,6,0,6,0,2,6,0,6,9,NA
LI,2,South Island,7,5,60,32,6,42,4,4,4,2,4,2,13,1.773632972,0.265815334,0,1,0,1,1,0,1,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.523882466,0.111453927,7,4,11,6,1,11,7,4,5.5,8.6
LI,2,Vickies,8,1,26,26,46,24,0,2,0,0,0,2,6,0.906550612,0.135865231,0,4,0,1,1,0,1,1,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1.916776471,0.40778663,7,8,15,5,3,15,8,7,1.7,3.3
LI,2,Vickies,8,2,36,40,24,34,0,0,0,0,2,0,5,0.796578428,0.119383641,4,3,0,2,2,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1.928822224,0.410349316,7,12,19,7,2,19,15,4,1.9,2.4
LI,2,Vickies,8,3,36,38,26,34,0,0,2,0,0,0,5,1.206718295,0.180851524,0,1,0,10,0,0,3,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1.302101406,0.277016936,15,6,21,3,4,21,14,7,1.7,2.6
LI,2,Vickies,8,4,18,16,66,8,6,2,0,0,2,0,6,0.429287869,0.064337605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.430827083,0.304402815,0,1,1,1,0,1,1,0,18,18
LI,2,Vickies,8,5,42,28,24,14,14,4,2,4,4,6,14,0.738575738,0.110690746,1,3,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.442179356,0.094071913,4,6,10,5,1,10,9,1,4.2,4.7
LI,2,Watsons Bay,9,1,28,64,8,12,4,4,2,4,2,0,10,0.615042117,0.092176695,1,1,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,7,2.151363669,0.45769413,9,4,13,4,3,13,8,5,2.2,3.5
LI,2,Watsons Bay,9,2,34,62,0,6,0,14,4,4,6,4,10,0.582864425,0.087354207,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,2.257856064,0.480349967,7,1,8,1,2,8,2,6,4.3,17
LI,2,Watsons Bay,9,3,34,64,2,12,2,8,4,6,2,0,12,0.66301699,0.099366715,2,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,1.868979349,0.397617981,16,11,27,3,1,27,19,8,1.3,1.8
LI,2,Watsons Bay,9,4,42,54,4,12,20,2,2,4,2,0,12,0.464385619,0.069597724,1,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.839331063,0.391310425,1,7,8,3,1,8,7,1,5.3,6
LI,2,Watsons Bay,9,5,46,50,0,4,38,0,0,0,4,4,5,0.530452897,0.079499263,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1.515504697,0.322417643,3,4,7,3,2,7,5,2,6.6,9.2
PNG,3,Christines,1,1,71.5,26.5,0,47,3.5,3.5,2.5,2.5,12.5,2,24,1.621115054,0.233902249,0,6,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,1,7,0.781301471,0.166218805,5,10,15,3,3,15,9,5,4.8,7.9
PNG,3,Christines,1,2,60.5,36.5,1.5,18.5,13.5,3,5.5,6.5,13.5,1.5,24,2.414292958,0.348345759,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,4,1.378783493,0.293330747,1,11,12,1,2,12,8,3,5,7.6
PNG,3,Christines,1,3,62.5,37.5,0,24.5,8.5,13,6.5,2.5,7.5,0,25,2.387957542,0.344545959,0,6,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.618392729,0.131560613,5,6,11,3,1,11,9,2,5.7,6.9
PNG,3,Christines,1,4,62,37.5,0.5,26,14,5,5.5,2.5,9,0,23,2.173196454,0.3135592,0,8,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,5,1.418540761,0.301788949,7,10,17,2,3,17,9,8,3.6,6.9
PNG,3,Christines,1,5,53.5,46.5,0,20,17,4.5,3,3.5,5.5,0,25,2.269940512,0.327517896,0,9,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0.945660305,0.201185498,7,11,18,4,1,18,15,3,3,3.6
PNG,3,Gavagava,2,1,54.5,43.5,0,0,34.5,15,1,3,1,2,12,1.70314782,0.24573833,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0.212746054,2,2,4,1,1,4,2,2,13.6,27.3
